Municipality,Reporting Status,Funds Received,Funds Expended,Percentage Expended
Wales,Did not receive funding,,,
Tolland,Did not receive funding,,,
Shutesbury,Did not receive funding,,,
Rowe,Did not receive funding,,,
Richmond,Did not receive funding,,,
Mount Washington,Did not receive funding,,,
Millville,Did not receive funding,,,
Hawley,Did not receive funding,,,
Hardwick,Did not receive funding,,,
East Brookfield,Did not receive funding,,,
Charlemont,Did not receive funding,,,
Worthington,Not required/Did not submit,$666.00,Data not available,Data not available
Windsor,Not required/Did not submit,$231.00,Data not available,Data not available
Williamstown,Not required/Did not submit,"$34,623.00",Data not available,Data not available
Williamsburg,Not required/Did not submit,"$15,210.00",Data not available,Data not available
Wilbraham,Not required/Did not submit,"$13,846.00",Data not available,Data not available
Whately,Not required/Did not submit,"$13,894.00",Data not available,Data not available
West Stockbridge,Not required/Did not submit,"$1,255.00",Data not available,Data not available
Wenham,Not required/Did not submit,"$4,957.00",Data not available,
Wellfleet,Not required/Did not submit,"$29,528.00",Data not available,
Warwick,Not required/Did not submit,"$2,918.00",Data not available,
Warren,Not required/Did not submit,"$7,928.00",Data not available,
Upton,Not required/Did not submit,"$9,330.00",Data not available,
Truro,Not required/Did not submit,"$26,718.00",Data not available,
Townsend,Not required/Did not submit,"$4,149.00",Data not available,
Tisbury,Not required/Did not submit,"$29,429.00",Data not available,
Templeton,Not required/Did not submit,"$7,416.00",Data not available,
Stockbridge,Not required/Did not submit,"$4,081.00",Data not available,
Sterling,Not required/Did not submit,"$8,700.00",Data not available,
Spencer,Not required/Did not submit,"$8,982.00",Data not available,
Southampton,Not required/Did not submit,"$34,218.00",Data not available,
Shirley,Not required/Did not submit,"$2,195.00",Data not available,
Shelburne,Not required/Did not submit,"$6,442.00",Data not available,
Sheffield,Not required/Did not submit,"$2,944.00",Data not available,
Savoy,Not required/Did not submit,"$4,565.00",Data not available,
Rutland,Not required/Did not submit,"$5,406.00",Data not available,
Russell,Not required/Did not submit,$546.00,Data not available,
Royalston,Not required/Did not submit,$917.00,Data not available,
Rowley,Not required/Did not submit,"$5,949.00",Data not available,
Plainville,Not required/Did not submit,"$32,632.00",Data not available,
Phillipston,Not required/Did not submit,"$1,761.00",Data not available,
Peru,Not required/Did not submit,$509.00,Data not available,
Pepperell,Not required/Did not submit,"$4,526.00",Data not available,
Pelham,Not required/Did not submit,"$10,412.00",Data not available,
Paxton,Not required/Did not submit,"$5,089.00",Data not available,
Oakham,Not required/Did not submit,"$1,161.00",Data not available,
Northfield,Not required/Did not submit,"$6,765.00",Data not available,
North Brookfield,Not required/Did not submit,"$30,895.00",Data not available,
New Salem,Not required/Did not submit,"$1,082.00",Data not available,
New Marlborough,Not required/Did not submit,"$1,456.00",Data not available,
New Ashford,Not required/Did not submit,$118.00,Data not available,
Nahant,Not required/Did not submit,"$15,719.00",Data not available,
Montague,Not required/Did not submit,"$12,885.00",Data not available,
Mendon,Not required/Did not submit,"$7,255.00",Data not available,
Marion,Not required/Did not submit,"$30,864.00",Data not available,
Leyden,Not required/Did not submit,$339.00,Data not available,
Lanesborough,Not required/Did not submit,"$25,436.00",Data not available,
Kingston,Not required/Did not submit,"$30,521.00",Data not available,
Huntington,Not required/Did not submit,"$1,174.00",Data not available,
Hubbardston,Not required/Did not submit,"$3,389.00",Data not available,
Holland,Not required/Did not submit,"$8,787.00",Data not available,
Hinsdale,Not required/Did not submit,"$1,636.00",Data not available,
Heath,Not required/Did not submit,$521.00,Data not available,
Hatfield,Not required/Did not submit,"$27,741.00",Data not available,
Hanson,Not required/Did not submit,"$13,537.00",Data not available,
Hampden,Not required/Did not submit,"$3,822.00",Data not available,
Groveland,Not required/Did not submit,"$4,843.00",Data not available,
Groton,Not required/Did not submit,"$4,990.00",Data not available,
Great Barrington,Not required/Did not submit,"$10,556.00",Data not available,
Gosnold,Not required/Did not submit,$514.00,Data not available,
Goshen,Not required/Did not submit,$910.00,Data not available,
Gill,Not required/Did not submit,"$1,427.00",Data not available,
Freetown,Not required/Did not submit,"$15,348.00",Data not available,
Erving,Not required/Did not submit,"$22,716.00",Data not available,
Egremont,Not required/Did not submit,"$2,244.00",Data not available,
Dover,Not required/Did not submit,"$15,232.00",Data not available,
Dighton,Not required/Did not submit,"$10,114.00",Data not available,
Dalton,Not required/Did not submit,"$5,440.00",Data not available,
Cummington,Not required/Did not submit,$431.00,Data not available,
Colrain,Not required/Did not submit,$708.00,Data not available,
Clarksburg,Not required/Did not submit,"$6,773.00",Data not available,
Chester,Not required/Did not submit,"$4,281.00",Data not available,
Charlton,Not required/Did not submit,"$13,503.00",Data not available,
Carlisle,Not required/Did not submit,"$23,264.00",Data not available,
Brookfield,Not required/Did not submit,"$16,491.00",Data not available,
Brimfield,Not required/Did not submit,"$15,725.00",Data not available,
Bolton,Not required/Did not submit,"$4,867.00",Data not available,
Blandford,Not required/Did not submit,$398.00,Data not available,
Blackstone,Not required/Did not submit,"$9,793.00",Data not available,
Bernardston,Not required/Did not submit,"$1,801.00",Data not available,
Becket,Not required/Did not submit,"$2,974.00",Data not available,
Barre,Not required/Did not submit,"$4,267.00",Data not available,
Aquinnah,Not required/Did not submit,"$2,179.00",Data not available,
Alford,Not required/Did not submit,$329.00,Data not available,
Adams,Not required/Did not submit,"$8,389.00",Data not available,
Winthrop,Not required/Submitted,"$33,564.00",$0.00,0%
Whitman,Not required/Submitted,"$19,842.00",$0.00,0%
Westminster,Not required/Submitted,"$10,026.00",$0.00,0%
Westhampton,Not required/Submitted,"$8,815.00",$0.00,0%
West Tisbury,Not required/Submitted,"$4,385.00",$0.00,0%
West Newbury,Not required/Submitted,"$3,846.00",$0.00,0%
Wendell,Not required/Submitted,$464.00,$0.00,0%
Washington,Not required/Submitted,$180.00,$0.00,0%
Topsfield,Not required/Submitted,"$31,542.00",$0.00,0%
Sunderland,Not required/Submitted,"$17,441.00",$0.00,0%
Stow,Not required/Submitted,"$3,238.00",$0.00,0%
Southwick,Not required/Submitted,"$7,307.00",$0.00,0%
Sherborn,Not required/Submitted,"$15,977.00",$0.00,0%
Salisbury,Not required/Submitted,"$14,118.00",$0.00,0%
Rochester,Not required/Submitted,"$29,040.00",$0.00,0%
Rehoboth,Not required/Submitted,"$15,159.00",$0.00,0%
Raynham,Not required/Submitted,"$32,710.00",$0.00,0%
Princeton,Not required/Submitted,"$4,157.00",$0.00,0%
Plympton,Not required/Submitted,"$13,793.00",$0.00,0%
Petersham,Not required/Submitted,"$2,393.00",$0.00,0%
Otis,Not required/Submitted,"$1,559.00",$0.00,0%
Oak Bluffs,Not required/Submitted,"$17,142.00","$17,142.00",100%
Newbury,Not required/Submitted,"$5,987.00",$0.00,0%
Monterey,Not required/Submitted,"$1,863.00",$0.00,0%
Merrimac,Not required/Submitted,"$4,436.00",$0.00,0%
Manchester,Not required/Submitted,"$8,892.00",$0.00,0%
Leverett,Not required/Submitted,"$17,481.00",$0.00,0%
Lancaster,Not required/Submitted,"$2,600.00",$0.00,0%
Lakeville,Not required/Submitted,"$8,942.00","$1,300.00",14%
Holden,Not required/Submitted,"$15,199.00",$0.00,0%
Hancock,Not required/Submitted,"$3,541.00","$3,541.00",100%
Hamilton,Not required/Submitted,"$6,557.00",$0.00,0%
Halifax,Not required/Submitted,"$32,901.00",$0.00,0%
Granville,Not required/Submitted,"$9,099.00",$0.00,0%
Essex,Not required/Submitted,"$5,011.00",$0.00,0%
Eastham,Not required/Submitted,"$34,796.00",$0.00,0%
Dudley,Not required/Submitted,"$7,932.00",$0.00,0%
Conway,Not required/Submitted,"$15,679.00",$0.00,0%
Chilmark,Not required/Submitted,"$2,756.00",$0.00,0%
Chesterfield,Not required/Submitted,"$7,430.00",$0.00,0%
Cheshire,Not required/Submitted,$700.00,$0.00,0%
Buckland,Not required/Submitted,"$1,388.00",$0.00,0%
Bridgewater,Not required/Submitted,"$25,223.00",$0.00,0%
Boylston,Not required/Submitted,"$24,866.00",$0.00,0%
Berlin,Not required/Submitted,"$17,587.00",$0.00,0%
Ayer,Not required/Submitted,"$7,924.00",$0.00,0%
Avon,Not required/Submitted,"$32,716.00",$0.00,0%
Athol,Not required/Submitted,"$15,898.00",$0.00,0%
Ashfield,Not required/Submitted,"$1,206.00",$0.00,0%
Ashburnham,Not required/Submitted,"$6,197.00",$0.00,0%
Yarmouth,Required/Submitted,"$57,854.00",$0.00,0%
Wrentham,Required/Submitted,"$42,528.00",$0.00,0%
Worcester,Required/Submitted,"$845,392.00","$845,392.00",100%
Woburn,Required/Submitted,"$154,917.00",$0.00,0%
Winchester,Required/Submitted,"$113,643.00","$7,316.00",6%
Winchendon,Required/Submitted,"$80,949.00",$0.00,0%
Wilmington,Required/Submitted,"$109,109.00",$0.00,0%
Weymouth,Required/Submitted,"$250,122.00",$0.00,0%
Westwood,Required/Submitted,"$128,398.00",$0.00,0%
Westport,Required/Submitted,"$124,310.00",$0.00,0%
Weston,Required/Submitted,"$99,695.00",$0.00,0%
Westford,Required/Submitted,"$129,997.00",$0.00,0%
Westfield,Required/Submitted,"$289,111.00","$2,241.00",0%
Westborough,Required/Submitted,"$224,199.00",$0.00,0%
West Springfield,Required/Submitted,"$204,620.00","$9,640.00",4%
West Bridgewater,Required/Submitted,"$64,893.00",$0.00,0%
West Boylston,Required/Submitted,"$54,065.00",$0.00,0%
Wellesley,Required/Submitted,"$212,751.00",$0.00,0%
Webster,Required/Submitted,"$106,385.00",$0.00,0%
Wayland,Required/Submitted,"$94,898.00",$0.00,0%
Watertown,Required/Submitted,"$56,634.00","$56,634.00",100%
Wareham,Required/Submitted,"$158,979.00",$0.00,0%
Ware,Required/Submitted,"$90,008.00",$0.00,0%
Waltham,Required/Submitted,"$235,355.00",$0.00,0%
Walpole,Required/Submitted,"$141,237.00",$0.00,0%
Wakefield,Required/Submitted,"$93,567.00","$92,567.00",98%
Uxbridge,Required/Submitted,"$99,737.00","$1,876.00",1%
Tyngsborough,Required/Submitted,"$51,398.00",$0.00,0%
Tewksbury,Required/Submitted,"$111,715.00",$0.00,0%
Taunton,Required/Submitted,"$581,756.00",$0.00,0%
Swansea,Required/Submitted,"$138,284.00",$0.00,0%
Swampscott,Required/Submitted,"$123,909.00",$0.00,0%
Sutton,Required/Submitted,"$76,082.00",$0.00,0%
Sudbury,Required/Submitted,"$86,232.00",$0.00,0%
Sturbridge,Required/Submitted,"$54,639.00",$0.00,0%
Stoughton,Required/Submitted,"$137,911.00",$0.00,0%
Stoneham,Required/Submitted,"$37,216.00",$0.00,0%
Springfield,Required/Submitted,"$1,521,534.00",$0.00,0%
Southbridge,Required/Submitted,"$128,501.00",$0.00,0%
Southborough,Required/Submitted,"$96,115.00",$0.00,0%
South Hadley,Required/Submitted,"$145,453.00",$0.00,0%
Somerville,Required/Submitted,"$244,891.00",$0.00,0%
Somerset,Required/Submitted,"$130,164.00",$0.00,0%
Shrewsbury,Required/Submitted,"$286,140.00",$0.00,0%
Sharon,Required/Submitted,"$139,630.00",$0.00,0%
Seekonk,Required/Submitted,"$147,030.00",$0.00,0%
Scituate,Required/Submitted,"$174,152.00",$0.00,0%
Saugus,Required/Submitted,"$147,279.00",$0.00,0%
Sandwich,Required/Submitted,"$218,651.00",$0.00,0%
Salem,Required/Submitted,"$276,560.00",$0.00,0%
Rockport,Required/Submitted,"$52,554.00",$0.00,0%
Rockland,Required/Submitted,"$134,794.00",$0.00,0%
Revere,Required/Submitted,"$254,470.00",$0.00,0%
Reading,Required/Submitted,"$108,947.00","$21,790.00",20%
Randolph,Required/Submitted,"$155,552.00",$0.00,0%
Quincy,Required/Submitted,"$454,439.00",$0.00,0%
Provincetown,Required/Submitted,"$39,575.00",$0.00,0%
Plymouth,Required/Submitted,"$239,092.00",$0.00,0%
Pittsfield,Required/Submitted,"$510,357.00",$0.00,0%
Pembroke,Required/Submitted,"$149,818.00",$0.00,0%
Peabody,Required/Submitted,"$316,726.00",$0.00,0%
Palmer,Required/Submitted,"$71,710.00",$0.00,0%
Oxford,Required/Submitted,"$103,302.00",$0.00,0%
Orleans,Required/Submitted,"$41,345.00",$0.00,0%
Orange,Required/Submitted,"$60,874.00",$0.00,0%
Norwood,Required/Submitted,"$150,882.00",$0.00,0%
Norwell,Required/Submitted,"$121,768.00",$0.00,0%
Norton,Required/Submitted,"$201,801.00",$0.00,0%
Northbridge,Required/Submitted,"$124,833.00",$0.00,0%
Northborough,Required/Submitted,"$107,123.00",$0.00,0%
Northampton,Required/Submitted,"$239,024.00",$0.00,0%
North Reading,Required/Submitted,"$73,588.00",$0.00,0%
North Attleborough,Required/Submitted,"$281,663.00",$0.00,0%
North Andover,Required/Submitted,"$198,747.00",$0.00,0%
North Adams,Required/Submitted,"$151,607.00",$0.00,0%
Norfolk,Required/Submitted,"$39,485.00",$0.00,0%
Newton,Required/Submitted,"$446,104.00",$0.00,0%
Newburyport,Required/Submitted,"$128,485.00",$0.00,0%
New Bedford,Required/Submitted,"$1,044,302.00",$0.00,0%
Needham,Required/Submitted,"$217,287.00",$0.00,0%
Natick,Required/Submitted,"$151,299.00",$0.00,0%
Nantucket,Required/Submitted,"$48,742.00",$0.00,0%
Monson,Required/Submitted,"$55,990.00",$0.00,0%
Milton,Required/Submitted,"$155,666.00",$0.00,0%
Millis,Required/Submitted,"$44,208.00",$0.00,0%
Millbury,Required/Submitted,"$103,130.00","$17,500.00",16%
Milford,Required/Submitted,"$235,410.00","$235,410.00",100%
Middleton,Required/Submitted,"$40,551.00",$0.00,0%
Middleborough,Required/Submitted,"$87,670.00","$29,551.00",33%
Methuen,Required/Submitted,"$316,120.00",$0.00,0%
Melrose,Required/Submitted,"$101,540.00",$0.00,0%
Medway,Required/Submitted,"$85,814.00",$0.00,0%
Medford,Required/Submitted,"$175,640.00",$0.00,0%
Medfield,Required/Submitted,"$92,139.00",$0.00,0%
Maynard,Required/Submitted,"$44,878.00",$0.00,0%
Mattapoisett,Required/Submitted,"$37,307.00",$0.00,0%
Mashpee,Required/Submitted,"$152,955.00",$0.00,0%
Marshfield,Required/Submitted,"$218,016.00",$0.00,0%
Marlborough,Required/Submitted,"$162,202.00",$0.00,0%
Marblehead,Required/Submitted,"$154,138.00",$0.00,0%
Mansfield,Required/Submitted,"$301,417.00",$0.00,0%
Malden,Required/Submitted,"$206,042.00","$22,500.00",10%
Lynnfield,Required/Submitted,"$103,166.00",$0.00,0%
Lynn,Required/Submitted,"$703,868.00",$0.00,0%
Lunenburg,Required/Submitted,"$84,740.00",$0.00,0%
Ludlow,Required/Submitted,"$134,539.00",$0.00,0%
Lowell,Required/Submitted,"$452,896.00","$3,125.00",0%
Longmeadow,Required/Submitted,"$132,303.00","$2,685.00",2%
Littleton,Required/Submitted,"$46,145.00",$0.00,0%
Lincoln,Required/Submitted,"$48,622.00",$0.00,0%
Lexington,Required/Submitted,"$225,108.00",$0.00,0%
Leominster,Required/Submitted,"$349,430.00","$30,000.00",8%
Lenox,Required/Submitted,"$71,166.00",$0.00,0%
Leicester,Required/Submitted,"$85,175.00",$0.00,0%
Lee,Required/Submitted,"$67,167.00",$0.00,0%
Lawrence,Required/Submitted,"$652,599.00",$0.00,0%
Ipswich,Required/Submitted,"$91,956.00",$0.00,0%
Hull,Required/Submitted,"$86,438.00",$0.00,0%
Hudson,Required/Submitted,"$88,192.00",$0.00,0%
Hopkinton,Required/Submitted,"$45,190.00",$0.00,0%
Hopedale,Required/Submitted,"$60,679.00",$0.00,0%
Holyoke,Required/Submitted,"$427,347.00",$0.00,0%
Holliston,Required/Submitted,"$73,940.00",$0.00,0%
Holbrook,Required/Submitted,"$54,055.00",$0.00,0%
Hingham,Required/Submitted,"$213,514.00",$0.00,0%
Haverhill,Required/Submitted,"$360,060.00",$0.00,0%
Harwich,Required/Submitted,"$63,841.00","$3,400.00",5%
Harvard,Required/Submitted,"$72,788.00",$0.00,0%
Hanover,Required/Submitted,"$131,767.00",$0.00,0%
Hadley,Required/Submitted,"$45,838.00",$0.00,0%
Greenfield,Required/Submitted,"$199,992.00",$0.00,0%
Granby,Required/Submitted,"$62,851.00",$0.00,0%
Grafton,Required/Submitted,"$62,138.00",$0.00,0%
Gloucester,Required/Submitted,"$186,571.00",$0.00,0%
Georgetown,Required/Submitted,"$60,186.00",$0.00,0%
Gardner,Required/Submitted,"$136,215.00",$0.00,0%
Franklin,Required/Submitted,"$199,275.00","$67,505.00",33%
Framingham,Required/Submitted,"$305,203.00",$0.00,0%
Foxborough,Required/Submitted,"$114,439.00",$0.00,0%
Fitchburg,Required/Submitted,"$305,703.00",$0.00,0%
Falmouth,Required/Submitted,"$293,287.00",$0.00,0%
Fall River,Required/Submitted,"$931,039.00","$50,000.00",5%
Fairhaven,Required/Submitted,"$72,780.00",$0.00,0%
Everett,Required/Submitted,"$193,152.00",$0.00,0%
Edgartown,Required/Submitted,"$35,807.00",$0.00,0%
Easton,Required/Submitted,"$251,016.00",$0.00,0%
Easthampton,Required/Submitted,"$59,520.00",$0.00,0%
East Longmeadow,Required/Submitted,"$120,082.00",$0.00,0%
East Bridgewater,Required/Submitted,"$102,056.00",$0.00,0%
Duxbury,Required/Submitted,"$165,462.00",$0.00,0%
Dracut,Required/Submitted,"$90,464.00",$0.00,0%
Douglas,Required/Submitted,"$73,365.00",$0.00,0%
Dennis,Required/Submitted,"$42,899.00",$0.00,0%
Deerfield,Required/Submitted,"$38,588.00",$0.00,0%
Dedham,Required/Submitted,"$141,002.00",$0.00,0%
Dartmouth,Required/Submitted,"$243,457.00",$0.00,0%
Danvers,Required/Submitted,"$178,522.00",$0.00,0%
Concord,Required/Submitted,"$77,362.00",$0.00,0%
Cohasset,Required/Submitted,"$63,269.00",$0.00,0%
Clinton,Required/Submitted,"$104,872.00",$0.00,0%
Chicopee,Required/Submitted,"$389,863.00",$0.00,0%
Chelsea,Required/Submitted,"$231,524.00",$0.00,0%
Chelmsford,Required/Submitted,"$139,844.00","$52,745.00",37%
Chatham,Required/Submitted,"$74,521.00",$0.00,0%
Carver,Required/Submitted,"$48,578.00",$0.00,0%
Canton,Required/Submitted,"$128,665.00",$0.00,0%
Cambridge,Required/Submitted,"$1,903,731.00",$0.00,0%
Burlington,Required/Submitted,"$134,189.00",$0.00,0%
Brookline,Required/Submitted,"$364,572.00","$60,216.00",16%
Brockton,Required/Submitted,"$936,100.00","$92,663.00",9%
Brewster,Required/Submitted,"$56,796.00",$0.00,0%
Braintree,Required/Submitted,"$197,087.00",$410.00,0%
Boxford,Required/Submitted,"$40,340.00",$0.00,0%
Bourne,Required/Submitted,"$167,316.00",$0.00,0%
Boston,Required/Submitted,"$4,676,789.00",$0.00,0%
Billerica,Required/Submitted,"$171,162.00",$0.00,0%
Beverly,Required/Submitted,"$107,019.00",$0.00,0%
Berkley,Required/Submitted,"$53,625.00",$0.00,0%
Belmont,Required/Submitted,"$107,020.00",$0.00,0%
Bellingham,Required/Submitted,"$86,713.00",$0.00,0%
Belchertown,Required/Submitted,"$154,442.00",$0.00,0%
Bedford,Required/Submitted,"$87,680.00",$0.00,0%
Barnstable,Required/Submitted,"$379,312.00",$0.00,0%
Auburn,Required/Submitted,"$134,274.00",$0.00,0%
Attleboro,Required/Submitted,"$413,752.00",$0.00,0%
Ashland,Required/Submitted,"$71,364.00","$71,364.00",100%
Arlington,Required/Submitted,"$148,139.00",$0.00,0%
Andover,Required/Submitted,"$158,209.00",$0.00,0%
Amherst,Required/Submitted,"$162,539.00",$0.00,0%
Amesbury,Required/Submitted,"$114,123.00",$0.00,0%
Agawam,Required/Submitted,"$191,988.00","$191,988.00",99%
Acushnet,Required/Submitted,"$68,418.00",$0.00,0%
Acton,Required/Submitted,"$70,150.00",$0.00,0%
Abington,Required/Submitted,"$106,161.00",$0.00,0%
